year,city,country,avg_temp
1743,Paris,France,7.65
1744,Paris,France,11.48
1745,Paris,France,4.73
1746,Paris,France,
1747,Paris,France,
1748,Paris,France,
1749,Paris,France,
1750,Paris,France,11.18
1751,Paris,France,11.15
1752,Paris,France,6.97
1753,Paris,France,10.40
1754,Paris,France,10.15
1755,Paris,France,9.84
1756,Paris,France,10.20
1757,Paris,France,10.02
1758,Paris,France,9.62
1759,Paris,France,10.66
1760,Paris,France,10.50
1761,Paris,France,10.55
1762,Paris,France,10.06
1763,Paris,France,9.83
1764,Paris,France,10.31
1765,Paris,France,10.15
1766,Paris,France,9.99
1767,Paris,France,10.01
1768,Paris,France,10.07
1769,Paris,France,10.10
1770,Paris,France,9.99
1771,Paris,France,9.98
1772,Paris,France,10.94
1773,Paris,France,10.35
1774,Paris,France,10.32
1775,Paris,France,10.92
1776,Paris,France,10.25
1777,Paris,France,10.17
1778,Paris,France,10.80
1779,Paris,France,11.36
1780,Paris,France,10.63
1781,Paris,France,11.40
1782,Paris,France,9.53
1783,Paris,France,11.01
1784,Paris,France,9.45
1785,Paris,France,9.49
1786,Paris,France,9.65
1787,Paris,France,10.53
1788,Paris,France,10.48
1789,Paris,France,9.80
1790,Paris,France,10.59
1791,Paris,France,10.65
1792,Paris,France,10.60
1793,Paris,France,10.66
1794,Paris,France,11.09
1795,Paris,France,10.37
1796,Paris,France,10.26
1797,Paris,France,10.55
1798,Paris,France,10.52
1799,Paris,France,8.89
1800,Paris,France,10.46
1801,Paris,France,10.64
1802,Paris,France,10.46
1803,Paris,France,9.90
1804,Paris,France,10.46
1805,Paris,France,9.09
1806,Paris,France,11.16
1807,Paris,France,10.24
1808,Paris,France,9.52
1809,Paris,France,9.90
1810,Paris,France,9.87
1811,Paris,France,11.17
1812,Paris,France,9.36
1813,Paris,France,9.77
1814,Paris,France,9.22
1815,Paris,France,10.06
1816,Paris,France,8.89
1817,Paris,France,10.06
1818,Paris,France,10.76
1819,Paris,France,10.79
1820,Paris,France,9.68
1821,Paris,France,10.67
1822,Paris,France,11.54
1823,Paris,France,10.00
1824,Paris,France,10.48
1825,Paris,France,10.87
1826,Paris,France,10.70
1827,Paris,France,10.08
1828,Paris,France,11.02
1829,Paris,France,8.76
1830,Paris,France,9.59
1831,Paris,France,10.80
1832,Paris,France,10.02
1833,Paris,France,10.26
1834,Paris,France,11.57
1835,Paris,France,10.18
1836,Paris,France,10.30
1837,Paris,France,9.80
1838,Paris,France,9.29
1839,Paris,France,10.19
1840,Paris,France,9.63
1841,Paris,France,10.15
1842,Paris,France,9.99
1843,Paris,France,10.36
1844,Paris,France,9.70
1845,Paris,France,9.43
1846,Paris,France,11.41
1847,Paris,France,10.01
1848,Paris,France,10.39
1849,Paris,France,10.34
1850,Paris,France,9.79
1851,Paris,France,9.76
1852,Paris,France,10.98
1853,Paris,France,9.32
1854,Paris,France,10.23
1855,Paris,France,8.98
1856,Paris,France,10.32
1857,Paris,France,10.88
1858,Paris,France,9.94
1859,Paris,France,11.09
1860,Paris,France,9.15
